,Unnamed: 0,CCV,bloque,OrdenPres,sujnum,TipoNumCCV,FFD,FPRT,TFT,transicion,dur_totCCV,dur_CCV_sin_inico,tiempo_onset_vocal_l,tiempo_onset_vocal_r,OrdenDeCCV,repeticion_ccv,Frecuencia,SegConsVoceada,RPD,RBRC,RBRT,SFD,RRT,NormTransition,TotalRepetition
2014,2014,BDA,2,3,7,5,266,515,515,,,,,,2,1,23.66,1,515,0,515,0,0,,4
2017,2017,DPA,2,3,7,5,324,324,324,,,,,,5,1,3.51,0,324,0,324,324,0,,4
2020,2020,BDA,2,3,7,5,289,289,289,,,,,,2,2,23.66,1,289,0,289,289,0,,5
2026,2026,BPA,2,3,7,5,554,554,554,,,,,,2,2,0.39,0,554,0,554,554,0,,5
2027,2027,DGA,2,3,7,5,344,344,344,,,,,,3,3,0.0,1,344,0,344,344,0,,6
2031,2031,BPA,2,3,7,5,607,607,607,,,,,,2,3,0.39,0,607,0,607,607,0,,6
2040,2040,GBA,2,3,7,5,413,413,413,,,,,,5,1,7.04,1,413,0,413,413,0,,4
2048,2048,BCA,2,3,7,5,269,269,269,,,,,,2,3,12.49,0,269,0,269,269,0,,6
2054,2054,GBA,2,3,7,5,301,301,301,,,,,,2,2,7.04,1,301,0,301,301,0,,5
2055,2055,GBA,2,3,7,5,347,347,347,,,,,,3,3,7.04,1,347,0,347,347,0,,6
2056,2056,DBA,2,3,7,5,374,374,374,,,,,,4,3,0.05,1,374,0,374,374,0,,6
2057,2057,BTA,2,3,7,5,417,417,417,,,,,,5,2,10150.0,0,417,0,417,417,0,,5
2059,2059,GCA,2,3,7,5,384,384,384,,,,,,2,1,0.0,0,384,0,384,384,0,,4
2060,2060,DTA,2,3,7,5,378,378,378,,,,,,3,2,1.44,0,378,0,378,378,0,,5
2072,2072,DCA,2,3,7,5,465,465,706,,,,,,3,1,0.19,0,465,0,465,0,241,,4
2073,2073,DCA,2,3,7,5,376,588,588,,,,,,4,2,0.19,0,829,1,588,0,0,,5
2078,2078,DPA,2,3,7,5,496,496,496,,,,,,3,2,3.51,0,496,0,496,496,0,,5
2079,2079,GCA,2,3,7,5,333,333,333,,,,,,4,2,0.0,0,333,0,333,333,0,,5
2089,2089,BGA,2,3,7,5,317,317,317,,,,,,2,3,1.11,1,317,0,317,317,0,,6
2090,2090,GPA,2,3,7,5,279,518,518,,,,,,3,3,7.98,0,518,0,518,0,0,,6
2096,2096,BDA,2,3,7,5,328,328,328,,,,,,3,3,23.66,1,328,0,328,328,0,,6
2097,2097,DTA,2,3,7,5,304,523,523,,,,,,4,3,1.44,0,523,0,523,0,0,,6
2101,2101,BTA,2,3,7,5,291,291,291,,,,,,2,3,10150.0,0,291,0,291,291,0,,6
2102,2102,DPA,2,3,7,5,323,323,323,,,,,,3,3,3.51,0,323,0,323,323,0,,6
2107,2107,GTA,2,3,7,5,338,338,570,,,,,,3,1,47.64,0,338,0,338,0,232,,4
2109,2109,GCA,2,3,7,5,359,359,359,,,,,,5,3,0.0,0,359,0,359,359,0,,6
2115,2115,DCA,2,3,7,5,177,538,538,,,,,,5,3,0.19,0,538,0,538,0,0,,6
2117,2117,GTA,2,3,7,5,328,328,328,,,,,,2,2,47.64,0,328,0,328,328,0,,5
2126,2126,GTA,2,3,7,5,549,549,549,,,,,,5,3,47.64,0,549,0,549,549,0,,6
2132,2132,BPA,1,2,8,5,377,562,562,,,,,,5,1,0.39,0,562,0,562,0,0,,1
2136,2136,BDA,1,2,8,5,811,1071,1071,,,,,,3,1,23.66,1,1071,0,1071,0,0,,1
2137,2137,GCA,1,2,8,5,760,977,977,,,,,,4,1,0.0,0,977,0,977,0,0,,1
2150,2150,GTA,1,2,8,5,472,1103,1103,,,,,,5,1,47.64,0,1103,0,1103,0,0,,1
2155,2155,GDA,1,2,8,5,399,883,883,,,,,,4,1,8.06,1,883,0,883,0,0,,1
2165,2165,GDA,1,2,8,5,452,575,575,,,,,,2,2,8.06,1,575,0,575,0,0,,2
2171,2171,BDA,1,2,8,5,325,325,325,,,,,,2,2,23.66,1,325,0,325,325,0,,2
2172,2172,DPA,1,2,8,5,337,951,951,,,,,,3,1,3.51,0,951,0,951,0,0,,1
