,Unnamed: 0,CCV,bloque,OrdenPres,sujnum,TipoNumCCV,FFD,FPRT,TFT,transicion,dur_totCCV,dur_CCV_sin_inico,tiempo_onset_vocal_l,tiempo_onset_vocal_r,OrdenDeCCV,repeticion_ccv,Frecuencia,SegConsVoceada,RPD,RBRC,RBRT,SFD,RRT,NormTransition,TotalRepetition
5033,5033,GDA,1,2,17,5,221,1207,1207,0.086308975220351,0.317951128069808,0.276745552803318,1.1914663717183702,1.19246637171857,4,2,8.06,1,1207,0,1207,0,0,0.2714535901926455,5
5043,5043,DTA,1,2,17,5,240,741,741,0.136268998323624,0.40370849503359496,0.331402495923101,0.6041965847258729,0.6071965847264841,2,1,1.44,0,741,0,741,0,0,0.33754305396096324,4
5045,5045,DCA,1,2,17,5,735,1129,1129,0.130801603526356,0.41456541282940096,0.332409033754995,1.07909945091155,1.08009945091175,4,1,0.19,0,1129,0,1129,0,0,0.31551499348109524,4
5046,5046,BPA,1,2,17,5,228,472,633,0.17356897559351905,0.432676728632647,0.352120792591636,0.770204767822078,0.7692047678218751,5,1,0.39,0,472,0,472,0,161,0.4011516314779279,4
5050,5050,GDA,1,2,17,5,508,914,914,0.0953880516070207,0.313417883851639,0.259818883424837,0.872621165460918,0.874621165459506,3,3,8.06,1,914,0,914,0,0,0.304347826086957,6
5052,5052,DBA,1,2,17,5,258,461,715,0.120670018942342,0.3732448516940711,0.274212215458632,0.7628099438106372,0.7658099438112479,5,2,0.05,1,461,0,461,0,254,0.32329988851728025,5
5056,5056,DGA,1,2,17,5,222,902,902,0.10191382441466902,0.37778400429575504,0.285827277668727,0.824601409339499,0.824601409339499,3,1,0.0,1,902,0,902,0,0,0.2697674418604657,4
5057,5057,BPA,1,2,17,5,301,752,752,0.17657813351981394,0.444644213029964,0.36979043903787,0.8521814823940369,0.851181482393833,4,2,0.39,0,752,0,752,0,0,0.3971223021582755,5
5061,5061,GBA,1,2,17,5,714,858,858,0.11312183643449003,0.4076979891801421,0.289408150065904,0.670795778301014,0.671795778301218,2,2,7.04,1,858,0,858,0,0,0.2774647887323941,5
5063,5063,BCA,1,2,17,5,536,922,922,0.13366508092637,0.38569622749235705,0.30678551706594603,0.78345129789912,0.78345129789912,4,2,12.49,0,922,0,922,0,0,0.3465553235908139,5
5068,5068,DTA,1,2,17,5,649,1035,1035,0.13507737267905698,0.427136556849991,0.342561084767158,0.656266001059135,0.6592660010597471,3,2,1.44,0,1035,0,1035,0,0,0.3162393162393162,5
5082,5082,BGA,1,2,17,5,1062,1385,1385,0.113547716275941,0.406556213397761,0.29079293192619105,1.23404911665868,1.23404911665868,5,2,1.11,1,1385,0,1385,0,0,0.27929155313351395,5
5084,5084,GCA,1,2,17,5,236,236,236,0.161759967844648,0.439490706286916,0.38043547993093296,0.5862639168362729,0.0942639168360837,2,1,0.0,0,236,0,236,236,0,0.3680623174294044,4
5090,5090,DTA,1,2,17,5,144,144,144,0.163776244715669,0.456004446071077,0.37315293403844496,0.9188206699115932,0.9188206699115932,2,3,1.44,0,144,0,144,144,0,0.3591549295774659,6
5091,5091,GTA,1,2,17,5,331,843,843,0.104300982202821,0.3224304401750661,0.26376113768598003,1.28707228996878,1.28707228996878,3,2,47.64,0,843,0,843,0,0,0.3234836702954907,5
5096,5096,BTA,1,2,17,5,52,768,768,0.17959244561110396,0.492240608226057,0.37753740391239504,0.657809049091708,0.7038090490919849,3,3,10150.0,0,768,0,768,0,0,0.3648468708388801,6
5098,5098,DPA,1,2,17,5,570,829,829,0.150239190081871,0.432937784437108,0.339149414297242,0.76255199612624,0.767551996127259,5,2,3.51,0,829,0,829,0,0,0.34702258726899354,5
5101,5101,BDA,1,2,17,5,53,762,762,0.121754005434194,0.42514103536857895,0.336919280611343,1.23141692174707,1.20041692174803,2,2,23.66,1,762,0,762,0,0,0.2863849765258217,5
5104,5104,BGA,1,2,17,5,481,979,979,0.127709977461627,0.39783754077844297,0.289792773202542,1.02759013521322,1.02759013521322,5,3,1.11,1,979,0,979,0,0,0.32101037325873955,6
5107,5107,GBA,1,2,17,5,776,776,776,0.14062069711997194,0.389872548887127,0.3392224399718761,0.789160184170596,0.7921601841712071,2,3,7.04,1,776,0,776,776,0,0.3606837606837598,6
5108,5108,GPA,1,2,17,5,96,1058,1058,0.20824398733308,0.456663663540708,0.377651475420762,0.940559324167261,0.938559324166854,3,1,7.98,0,1058,0,1058,0,0,0.4560117302052798,4
5114,5114,GTA,1,2,17,5,133,332,332,0.109692863104054,0.327981660681123,0.289040694279183,1.2723630686341,1.26936306863531,3,3,47.64,0,332,0,332,0,0,0.3344481605351155,6
5116,5116,GPA,1,2,17,5,225,1158,1158,0.18398057564540304,0.374128097960486,0.35871073128629,1.21814325666955,1.21814325666955,5,2,7.98,0,1158,0,1158,0,0,0.4917582417582396,5
5120,5120,GCA,1,2,17,5,121,585,585,0.141465234681565,0.401991707601912,0.352702915427793,0.7491465197972679,0.747146519796861,4,2,0.0,0,585,0,585,0,0,0.35191082802547874,5
5121,5121,DGA,1,2,17,5,425,425,425,0.153833618066759,0.506835927074255,0.35656798889646096,0.762307014799622,0.38430701480083,5,2,0.0,1,425,0,425,425,0,0.3035175879396989,5
5124,5124,DCA,1,2,17,5,88,473,473,0.136208863471835,0.448581190367244,0.329928135965112,0.686890056143045,0.6848900561426379,2,2,0.19,0,473,0,473,0,0,0.3036437246963558,5
5126,5126,GPA,1,2,17,5,210,785,785,0.190753291353732,0.488328425865553,0.3731828027211189,0.738341986091711,0.752341986092744,4,3,7.98,0,785,0,785,0,0,0.3906250000000008,6
5130,5130,DCA,1,2,17,5,43,654,654,0.141250895284751,0.452002864911204,0.330631725259122,0.66093795925184,0.66093795925184,2,3,0.19,0,654,0,654,0,0,0.3124999999999994,6
